Subject;Session;treatment;Payoff;NumberCorrectSlider;pause_count;BDM;slider;internet2;i5;i10;i15;i20;age;male;study;semester;com_change;weekday;Morning;Noon;year;mon;time;fix;pfp;avg_inv;Internet1;Internet2;effort1;effort2;avg_time_task_1;avg_time_task_2
1;1;MoneyGift;14;27;0;2;1;2;5;10;15;25;18;1;2;1;0;1;1;0;2016;1;0;1;0;14;0;0;70;76;26;23
2;1;MoneyGift;14;17;0;5;3;2;5;15;20;25;20;0;2;2;0;1;1;0;2016;1;0;1;0;16;0;0;58;56;31;32
3;1;MoneyGift;14;25;2;7;1;4;10;20;30;40;23;1;1;1;0;1;1;0;2016;1;0;1;0;25;1390;1777;12;0;33;
4;1;MoneyGift;14;17;2;6;1;1;8;20;30;40;24;0;1;12;1;1;1;0;2016;1;0;1;0;24;1080;1788;24;0;30;
5;1;MoneyGift;14;25;3;10;1;3;0;0;0;0;24;1;2;2;0;1;1;0;2016;1;0;1;0;0;1339;1794;15;0;30;
6;1;MoneyPfP;13;11;0;9;1;5;10;20;30;40;25;0;6;10;1;1;1;0;2016;1;0;0;1;25;0;1658;51;1;35;60
7;1;MoneyPfP;14;4;0;6;4;1;5;15;15;20;20;0;8;2;0;1;1;0;2016;1;0;0;1;14;0;1770;55;0;33;
8;1;MoneyPfP;13;1;0;15;1;4;0;5;5;10;26;0;1;4;0;1;1;0;2016;1;0;0;1;5;0;1378;49;10;37;41
9;1;MoneyPfP;14;12;0;5;4;2;5;10;5;20;31;1;9;12;0;1;1;0;2016;1;0;0;1;10;0;0;57;51;31;35
10;1;MoneyPfP;13;20;0;8;1;3;10;20;30;40;19;0;6;2;0;1;1;0;2016;1;0;0;1;25;0;1775;54;0;33;
11;1;TimePfP;8;13;0;3;3;2;10;15;20;25;20;0;2;2;1;1;1;0;2016;0;1;1;0;18;0;0;57;11;31;29
12;1;TimePfP;8;13;2;6;1;2;7;15;22;30;25;1;7;8;1;1;1;0;2016;0;1;1;0;19;191;29;52;9;31;49
13;1;TimePfP;8;12;2;6;1;1;10;20;30;40;19;0;8;2;1;1;1;0;2016;0;1;1;0;25;702;367;26;19;40;40
14;1;TimePfP;8;13;1;15;5;3;15;20;20;40;22;1;7;4;1;1;1;0;2016;0;1;1;0;24;19;412;50;4;35;34
15;1;TimePfP;8;12;0;7;5;1;5;10;15;15;23;0;7;8;1;1;1;0;2016;0;1;1;0;11;0;0;50;16;36;34
16;1;TimeGift25;8;17;0;30;2;1;10;20;25;30;30;1;7;14;1;1;1;0;2016;0;1;0;1;21;0;0;53;10;34;28
17;1;TimeGift25;8;16;0;5;5;2;10;20;30;40;23;0;2;4;1;1;1;0;2016;0;1;0;1;25;0;0;56;10;32;29
18;1;TimeGift25;8;17;3;5;1;4;5;10;15;20;24;0;5;10;1;1;1;0;2016;0;1;0;1;13;31;0;66;11;27;26
19;1;TimeGift25;8;12;3;5;2;5;8;15;23;30;27;0;1;14;1;1;1;0;2016;0;1;0;1;19;1020;128;15;4;50;37
20;1;TimeGift25;8;22;0;10;4;3;0;15;25;40;28;0;5;9;1;1;1;0;2016;0;1;0;1;20;0;0;57;9;31;31
22;2;TimePfP;8;14;0;8;5;1;5;10;15;20;22;0;2;7;1;1;0;1;2016;0;1;1;0;13;0;0;38;17;46;48
23;2;TimePfP;8;10;0;20;5;3;4;4;4;4;20;1;2;3;1;1;0;1;2016;0;1;1;0;4;0;52;53;13;34;32
24;2;TimePfP;8;26;0;8;2;6;10;20;30;40;20;1;9;2;1;1;0;1;2016;0;1;1;0;25;0;0;67;5;27;21
25;2;TimePfP;8;7;0;6;1;1;10;20;30;40;24;1;1;6;0;1;0;1;2016;0;1;1;0;25;0;0;53;12;33;40
26;2;TimePfP;8;18;0;15;3;2;5;10;15;20;21;1;9;2;1;1;0;1;2016;0;1;1;0;13;0;0;66;7;27;21
27;2;TimeGift25;8;23;1;15;1;5;5;10;15;20;19;1;2;1;1;1;0;1;2016;0;1;0;1;13;10;0;56;11;32;27
28;2;TimeGift25;8;18;0;4;2;6;10;20;30;40;25;0;7;9;0;1;0;1;2016;0;1;0;1;25;0;0;53;9;34;120
29;2;TimeGift25;8;17;0;25;7;6;5;10;15;20;20;1;2;3;0;1;0;1;2016;0;1;0;1;13;0;216;59;2;30;40
30;2;TimeGift25;8;14;5;8;1;1;8;10;20;40;24;0;9;8;1;1;0;1;2016;0;1;0;1;20;885;291;20;0;45;
31;2;TimeGift25;8;8;0;5;1;1;5;10;20;40;24;0;7;2;1;1;0;1;2016;0;1;0;1;19;0;0;35;5;49;50
33;2;MoneyGift;14;8;3;6;6;6;5;10;15;20;25;1;12;9;0;1;0;1;2016;1;0;1;0;13;357;0;50;70;28;25
34;2;MoneyGift;14;12;3;6;2;7;20;25;30;40;27;1;5;6;0;1;0;1;2016;1;0;1;0;29;1357;1705;8;2;50;37
35;2;MoneyGift;14;16;5;10;1;4;5;5;5;5;21;0;7;6;0;1;0;1;2016;1;0;1;0;5;1571;302;5;7;40;87
36;2;MoneyGift;14;13;5;10;1;3;10;20;30;40;25;1;6;4;1;1;0;1;2016;1;0;1;0;25;1006;1531;13;6;59;43
37;2;MoneyGift;14;17;0;15;1;6;5;15;20;20;20;0;1;1;0;1;0;1;2016;1;0;1;0;15;0;1542;59;6;30;34
38;2;MoneyPfP;15;24;0;5;1;6;6;12;20;30;23;1;2;8;0;1;0;1;2016;1;0;0;1;17;0;1726;65;2;27;27
39;2;MoneyPfP;15;16;0;5;6;1;5;10;15;20;22;1;4;4;0;1;0;1;2016;1;0;0;1;13;0;702;71;40;25;27
40;2;MoneyPfP;15;22;0;5;1;1;0;0;0;0;24;1;7;11;1;1;0;1;2016;1;0;0;1;0;0;1693;71;2;25;43
41;2;MoneyPfP;13;16;0;10;1;4;0;0;0;0;20;1;2;1;0;1;0;1;2016;1;0;0;1;0;0;1541;53;2;34;103
42;2;MoneyPfP;14;10;0;10;2;3;5;10;15;20;22;0;8;4;0;1;0;1;2016;1;0;0;1;13;0;407;62;45;29;30
45;3;MoneyGift;14;13;4;5;1;1;0;0;0;0;21;0;1;2;0;1;0;0;2016;1;0;1;0;0;1139;1647;17;4;37;34
46;3;MoneyGift;14;17;0;5;1;1;5;5;5;5;25;0;5;4;0;1;0;0;2016;1;0;1;0;5;0;543;54;36;33;34
47;3;MoneyGift;14;9;0;15;2;5;5;20;35;40;24;0;5;8;1;1;0;0;2016;1;0;1;0;25;0;1311;42;12;43;38
48;3;MoneyGift;14;12;0;5;1;7;5;15;20;30;21;0;8;6;0;1;0;0;2016;1;0;1;0;18;0;31;37;34;49;50
49;3;MoneyGift;14;28;2;8;1;2;5;15;30;40;19;1;2;1;1;1;0;0;2016;1;0;1;0;23;1342;1751;16;0;28;
