Subject;NumberCorrectSlider;BDM;slider;internet2;age;male;study;semester
1;27;2;1;2;18;1;2;1
2;17;5;3;2;20;0;2;2
3;25;7;1;4;23;1;1;1
4;17;6;1;1;24;0;1;12
5;25;10;1;3;24;1;2;2
6;11;9;1;5;25;0;6;10
7;4;6;4;1;20;0;8;2
8;1;15;1;4;26;0;1;4
9;12;5;4;2;31;1;9;12
10;20;8;1;3;19;0;6;2
11;13;3;3;2;20;0;2;2
12;13;6;1;2;25;1;7;8
13;12;6;1;1;19;0;8;2
14;13;15;5;3;22;1;7;4
15;12;7;5;1;23;0;7;8
16;17;30;2;1;30;1;7;14
17;16;5;5;2;23;0;2;4
18;17;5;1;4;24;0;5;10
19;12;5;2;5;27;0;1;14
20;22;10;4;3;28;0;5;9
22;14;8;5;1;22;0;2;7
23;10;20;5;3;20;1;2;3
24;26;8;2;6;20;1;9;2
25;7;6;1;1;24;1;1;6
26;18;15;3;2;21;1;9;2
27;23;15;1;5;19;1;2;1
28;18;4;2;6;25;0;7;9
29;17;25;7;6;20;1;2;3
30;14;8;1;1;24;0;9;8
31;8;5;1;1;24;0;7;2
33;8;6;6;6;25;1;12;9
34;12;6;2;7;27;1;5;6
35;16;10;1;4;21;0;7;6
36;13;10;1;3;25;1;6;4
37;17;15;1;6;20;0;1;1
38;24;5;1;6;23;1;2;8
39;16;5;6;1;22;1;4;4
40;22;5;1;1;24;1;7;11
41;16;10;1;4;20;1;2;1
42;10;10;2;3;22;0;8;4
45;13;5;1;1;21;0;1;2
46;17;5;1;1;25;0;5;4
47;9;15;2;5;24;0;5;8
48;12;5;1;7;21;0;8;6
49;28;8;1;2;19;1;2;1
50;14;10;2;4;22;0;1;3
51;7;8;1;3;30;1;7;12
52;22;7;2;1;29;1;8;16
53;19;3;5;6;22;0;6;4
54;21;7;2;6;25;1;2;1
55;12;5;1;7;22;0;7;2
56;17;4;1;2;22;0;8;6
57;18;8;2;3;29;1;2;8
58;20;2;3;7;23;0;1;2
59;16;10;2;1;25;0;2;2
60;0;15;1;1;19;1;2;1
61;15;4;2;2;22;0;2;2
62;14;4;1;2;28;0;9;4
63;12;5;6;2;22;0;7;6
64;9;5;1;4;21;1;1;2
65;12;5;1;4;24;1;2;9
66;5;5;1;5;24;0;1;3
67;0;7;1;1;22;0;6;5
68;18;3;2;2;22;0;8;5
69;21;5;4;3;23;0;2;2
70;16;5;5;2;28;0;7;17
71;13;6;1;7;20;0;3;2
72;16;5;4;2;23;0;9;4
73;16;3;4;1;28;0;5;10
74;18;8;1;3;20;1;7;4
75;18;5;3;4;20;0;2;4
76;17;5;1;5;24;1;2;2
77;29;8;1;2;23;0;9;2
78;12;5;1;7;22;0;7;4
79;16;5;4;2;29;0;5;7
80;18;15;1;6;25;1;2;8
81;12;2;2;3;24;0;7;6
82;16;7;2;2;26;0;6;9
83;24;5;1;2;22;0;2;2
84;16;4;1;2;22;0;7;6
85;18;6;2;5;25;0;7;2
86;25;1;4;3;21;0;9;2
87;23;5;5;2;26;0;7;8
88;16;5;3;1;21;0;8;6
89;13;4;2;3;21;0;4;4
90;4;8;1;1;24;1;2;1
91;18;8;2;3;22;0;3;3
92;20;30;1;4;27;1;1;9
93;22;6;3;2;22;1;9;6
94;29;7;1;5;20;1;2;4
95;19;4;1;4;23;0;6;2
96;8;5;1;1;24;0;2;3
97;18;3;5;2;21;1;1;2
98;22;5;2;5;25;0;2;10
99;18;6;1;1;22;1;8;5
100;24;20;3;1;29;1;6;10
101;15;4;5;1;23;0;8;5
102;20;3;1;2;19;1;7;2
103;22;5;6;2;20;0;1;2
104;17;20;2;2;25;0;5;10
105;18;10;1;2;21;0;1;4
106;32;8;2;3;25;1;2;9
107;8;10;1;7;22;0;7;8
108;25;5;5;4;20;0;7;4
109;12;5;1;2;20;0;1;2
110;13;6;2;4;26;1;5;10
111;13;1;1;7;28;1;3;14
112;18;6;1;5;24;0;1;2
113;13;3;1;7;22;0;7;5
114;13;7;1;2;19;1;2;1
115;16;8;1;5;25;0;2;10
116;23;5;2;3;24;0;3;8
117;17;8;1;3;18;0;2;2
